"","speakerName","speakerPrice","speakerRatings","speakerReview"
"1","Loops 120W 5.25” Indoor/Outdoor Active Bluetooth Wall Speakers – Pair of Black Stereo Wireless Music Streaming Speakers – IP56 External Weatherproof Garden Bar/Hot Tub Audio Home Entertainment System","£33.32£33.32","4.7 out of 5 stars","9"
"2","Sonos Play:5 (Gen.2) black","£80.72£80.72","4.4 out of 5 stars","310"
"3","Herdio 5.25 Inches 300 Watts Round Bluetooth Ceiling Speakers 2 Way Flush Mount Sound Bathroom Speaker For Bedroom Home Living Room","£107.99£107.99","4.4 out of 5 stars","791"
"4","Herdio 4 Inches 160 Watts 2 Way Flush Mount Ceiling Speakers Perfect for Bathroom, Kitchen,Living Room,Office","£190.39£190.39","4.5 out of 5 stars","45"
"5","E-Audio Bluetooth Ceiling Speaker Kit Bathroom Wireless Bluetooth Amplifier Water Resistant Ceiling Speakers (2 Way)","£24.29£24.29","4.3 out of 5 stars","217"
"6","Pyle Outdoor Waterproof Wireless Bluetooth Speaker - 3.5 Inch Pair 3-Way Active Passive Weatherproof Wall, Ceiling Mount Dual Speakers System w/Heavy Duty Grill, Patio, Indoor Use PDWR42BBT (Black)","£33.29£33.29","4.3 out of 5 stars","1,426"
"7","Hoody HOODY1 Fire and Acoustic Hood for 5-6-Inch Round Speakers","£494.95£494.95","4.4 out of 5 stars","15"
"8","Bluetooth Ceiling Music Kit 4 Zone Stereo Amp & 8x Low Profile HiFi Speaker","£91.66£91.66","4.6 out of 5 stars","1"
"9","Adastra Bluetooth Ceiling Speakers Set","£207.50£207.50","4.4 out of 5 stars","38"
"10","Trevi XT 101 BT Soundtower Speaker Amplified Tower with FM Radio, Bluetooth, Mp3, USB, SD, Aux-In, White","£215.83£215.83","4.4 out of 5 stars","467"
"11","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - White, SCN10WTEM","£35.82£35.82","4.5 out of 5 stars","396"
"12","Loops 70W 4"" 2 Way Stereo Speakers (2x PAIRS) - Two Pairs of Black Wall Mounted Satellite Speakers - Passive 8 Ohm Background Music HiFi Speakers - Bookshelf or Wall Mountable","£188.10£188.10","4.7 out of 5 stars","3"
"13","Audio Pro Addon C5A Multiroom Smart Speaker with Built In Amazon Alexa - White","£28.55£28.55",NA,"54"
"14","PYLE Dual Waterproof Outdoor Speaker System - 5.25'' Pair of Weatherproof Wall/Spring Loaded Speaker Terminal w/Heavy Duty Grill, Universal Mount, For Pool, Patio, & Indoor Use PDWR40B (Black)","£274.99£274.99",NA,"154"
"15","Gikfun 2"" 4Ohm 5W Full Range Audio Speaker Stereo Woofer Loudspeaker for Arduino Replacement (Pack of 2pcs) EK1949","£91.66£91.66",NA,"160"
"16","Harman Kardon Allure Home Voice Activated Speaker with Alexa, Black (Renewed)","£99.99£99.99",NA,"154"
"17","Polk Audio Atrium 4 Outdoor Speakers (Pair, Black)","£72.39£72.39",NA,"2,664"
"18","VIBE Audio Critical Link 6.5""Replacement Speaker - Single Pack","£91.66£91.66",NA,"25"
"19","Adastra WA-215 | In-Wall Digital Bluetooth Ceiling Stereo Audio System | 30Watts, White","£99.99£99.99",NA,"33"
"20","Monoprice 133833 Premium Immersive Satellite Speakers - Black (Pair) with 3Inch Woofer, 3/4Inch Aluminum Dome & 100 Watt Input Power","£449.10£449.10",NA,"212"
