"","Name","Price","Rating","Reviews"
"1","Razer Kraken - Cross-Platform Wired Gaming Headset (Custom Tuned 50 mm Drivers, Unidirectional Microphone, 3.5 mm Cable with In-line controls, Cross Platform Compatible) Quartz Pink  ","£41.66£41.66","49,458","4.4 out of 5 stars"
"2","Razer Viper V2 Pro – Ultra-lightweight Wireless Esports Gaming Mouse (30K DPI Optical Sensor, HyperSpeed Wireless Technology, Gen-3 Optical Mouse Switches, 5 DPI Options) Black  ","£66.66£66.66","20,316","4.5 out of 5 stars"
"3","DIWANGUS Steering Wheel Stand, Racing Wheel Stand with Adjustable Height/Angle, Wheel Stand Fit for Logitech G29/G923/G920, for Thrustmaster T300/T248  ","£107.86£107.86","340","4.5 out of 5 stars"
"4","Rii RK108 Gaming Keyboard and Mouse Set,Wired LED Light Up Keyboard Mouse with 3 Colors Backlit (Red/Purple/Blue),Compatible with PC,Laptop,Windows,Gamer,Xbox one,PS4,PS5-UK Layout  ","£134.99£134.99","1,061","4.3 out of 5 stars"
"5","Redragon M908 Impact RGB LED MMO Mouse with Side Buttons Optical Wired Gaming Mouse with 12,400DPI, High Precision, 20 Programmable Mouse Buttons  ","£92.90£92.90","6,565","4.4 out of 5 stars"
"6","TECURS Wireless Keyboard QWERTY UK Layout, 2.4G Wireless Gaming Keyboard, LED Backlit, Ergonomic, Quiet, Waterproof, Full Size Keyboard with Multimedia Keys for Computer/PC/Laptop/MAC/Windows  ","£102.98£102.98","683","4.5 out of 5 stars"
"7","CORSAIR HS80 RGB WIRELESS Multiplatform Gaming Headset – Dolby Atmos – Omni-Directional Microphone – iCUE Compatible – PC, Mac, PS5, PS4 – Carbon  ","£15.74£15.74","4,021","4.3 out of 5 stars"
"8","Gaming Keyboard and Mouse Set,Mafiti RK101 7 Rainbow Backlit Keyboard with Mechanical Feeling Breathing Light for Working or Gaming, UK Layout  ","£19.99£19.99","1,581","4.5 out of 5 stars"
"9","Logitech G X56 H.O.T.A.S Throttle and Joystick Flight Simulator Game Controller, 6 Dregrees of Freedom, 4 Spring Options, +189 Programmable Controls, RGB Lighting, 2x USB, PC - Black  ","£28.32£28.32","2,011","4.3 out of 5 stars"
"10","Mechanical Gaming Keyboard, Redragon Mechanical Keyboard with 105 Programmable Keys, Red Switches, Full Anti-ghosting RGB Keyboard Gaming Ideal for PC, Windows, Mac, Gamer, Office, Typists - UK Layout  ","£19.12£19.12","271","4.5 out of 5 stars"
"11","Razer Cobra - Lightweight Wired Gaming Mouse Chroma RGB (57g Lightweight Design, Optical Mouse Switches Gen-3, Chroma Lighting with Gradient Underglow, Precise Sensor Adjustments) Black  ","£24.16£24.16","385","4.4 out of 5 stars"
"12","STEALTH PANTHER Black - Over Ear Gaming Headset PS4/PS5, XBOX, Switch, PC with Flexible Mic, 3.5mm Jack, 1.5m Cable, Lightweight, Comfortable and Durable  ","£112.47£112.47","196","3.9 out of 5 stars"
"13","HORI Racing Wheel Apex for Playstation 5, PlayStation 4 and PC - Officially Licensed by Sony (PS5/)  ","£125.99£125.99","2,763","4.3 out of 5 stars"
"14","Logitech G G923 Racing Wheel and Pedals, TRUEFORCE up to 1000 Hz Force Feedback, Responsive Pedal, Dual Clutch Launch Control, Genuine Leather Wheel Cover, for Xbox Series X|S|One, PC - Black  ","£15.57£15.57","397","4.4 out of 5 stars"
"15","Razer Kraken X Ultralight Gaming Headset: 7.1 Surround Sound - Lightweight Aluminum Frame - Bendable Cardioid Microphone - for PC, PS4, PS5, Switch, Xbox One, Xbox Series X|S, Mobile - Black  ","£21.66£21.66","30,810","4.2 out of 5 stars"
"16","GIM Wireless Charging RGB Gaming Mouse Pad 15W, LED Mouse Mat 800x300x4MM, 10 Light Modes Extra Large Mousepad Non-Slip Rubber Base Computer Keyboard Mat for Gaming (Black-2)  ","£45.99£45.99","3,458","4.5 out of 5 stars"
"17",NA,"£35.99£35.99",NA,"4 Stars & Up"
"18",NA,"£20.69£20.69",NA,"3 Stars & Up"
"19",NA,"£94.49£94.49",NA,"2 Stars & Up"
"20",NA,"£107.99£107.99",NA,"1 Star & Up"
"21",NA,"£46.50£46.50",NA,NA
"22",NA,"£48.74£48.74",NA,NA
"23",NA,"£24.99£24.99",NA,NA
"24",NA,"£28.32£28.32",NA,NA
