"","speakerName","speakerPrice","speakerRatings","speakerReview"
"1","Polk Audio Atrium 6 Speakers - Black","£314.10£314.10","4.7 out of 5 stars","617"
"2","6x (3 Pairs) - 60W 2 Way White Wall Mounted Stereo Speakers & Brackets - 3” 8Ohm - Mini Compact Background Music Loudspeakers For HiFi Surround Sound & Streaming","£33.32£33.32","4.5 out of 5 stars","41"
"3","Sound Way Airport Bassreflex Tube - Tube Diameter 100 mm/Length 150 mm","£80.10£80.10","4.5 out of 5 stars","17"
"4","Canton DM 90.3 - soundbar speakers (Dolby Digital, DTS Digital Surround, Wired, 50/60 Hz, AC, AUX, HDMI, Optical, Coaxial)","£189.85£189.85","4.5 out of 5 stars","13"
"5","Trust Gaming GXT 668 Tytan 2.1 Soundbar Speaker System with Subwoofer for PC, PS4 and Xbox One, LED Illuminated, 120 W, UK Plug - Black/Blue","£107.99£107.99","4.3 out of 5 stars","6"
"6","Behringer Installed Loudspeaker SAT 1004","£212.51£212.51","4.3 out of 5 stars","1"
"7","5 Zone Wi-Fi Streaming Speaker Kit – Stereo Amplifier & 10x 70W Low Profile Ceiling Speakers – Wireless Background Music Sound System – Café, Restaurant, Pub, Shop & Home Multi-Room Audio","£629.95£629.95","4.7 out of 5 stars","454"
"8","OSD Audio ACE670 6.5-Inch 150W Trimless Angled Home Theater LCR Surround Sound In-Ceiling Speaker Kevlar Woofer Dolby Atmos Ready Paintable Grill (White, Single)","£274.99£274.99","4.6 out of 5 stars","77"
"9","(PAIR) 2x WHITE 6.5” 200W Stereo Loud Speakers & Wall Mounting Brackets –8Ohm Low Impedance– 2-Way Hi-Fi Background/Surround Sound Powerful MOISTURE RESISTANT Speaker Set – 27cm x 18cm","£188.10£188.10","4.4 out of 5 stars","38"
"10","Audioflow 4 Way Speaker Switch Selector Box Smart Wi-Fi","£91.66£91.66","4.3 out of 5 stars","72"
"11","Gikfun 28MM 8Ohm 1W Full Range Audio Speaker Stereo Woofer Loudspeaker for Arduino (Pack of 2pcs) EK1822","£24.29£24.29","4.3 out of 5 stars","184"
"12","Herdio 6.5 inch 120 Watts Ceiling Speakers, 2 Way Waterproof Outdoor Stereo Audio Sound Marine Speakers for Bathroom Boat Kitchen Home Theater (1 pair)","£33.29£33.29","4.4 out of 5 stars","80"
"13","Herdio 4 inches 2 Way Marine Waterproof Speakers Ceiling Speaker Suitable for Bathroom Kitchen SPA Room, Black","£35.82£35.82",NA,"23"
"14","AZDelivery 10x DFplayer Mini 3 watt 8 ohm portable small speakers with JST-PH2.0 mm pin interface for electronic DIY projects including eBook","£27.40£27.40",NA,"1,688"
"15","Adastra | Flush-Mount 100V Ceiling Speaker supplied singularly with Selectable 3 to 6W Output in a Clean White Finish","£314.10£314.10",NA,"759"
"16","Logitech Z906 5.1 Speaker System Sound Wall Mount Speakers, 1000W Black & Amazon Basics 9.8ft Optical Cable, Black","£29.16£29.16",NA,"32"
"17","Bose SoundTouch 10 Wireless Music System - White","£404.10£404.10",NA,"5"
"18","6.5 Inch Dual Marine Speakers - 2 Way Waterproof and Weather Resistant Outdoor Audio Stereo Sound System with 150 Watt Power, Polypropylene Cone and Cloth Surround - 1 Pair - Pyle PLMR60B (Black)","£494.10£494.10",NA,"75"
"19","EDGE Audio 5.25” Co-axial speaker - 50/100 W (RMS/MAX), Black, EDST215-E6","£91.66£91.66",NA,"10"
"20","Hsthe Sea 4 PCS Round Micro Speaker Diameter 1.5"" 4ohm 3W Audio Speaker Stereo Woofer Loudspeaker for Arduino","£99.99£99.99",NA,"7"
