"","speakerName","speakerPrice","speakerRatings","speakerReview"
"1","Polk Audio Atrium 4 Outdoor Speakers (Pair, Black)","£314.10£314.10","4.3 out of 5 stars","2,660"
"2","VIBE Audio DB4-V4 Critical Link 4""Replacement Speaker, Black","£33.32£33.32","4.3 out of 5 stars","29"
"3","Lithe Audio 6.5"" 2-way Passive Ceiling Speaker (01556) (single Passive), 60W RMS, Works with Any Amplifier, Perfect for Bedrooms, Bathrooms & Kitchens","£80.10£80.10","4.4 out of 5 stars","23"
"4","Harman Kardon Allure Home Voice Activated Speaker with Alexa, Black (Renewed)","£189.85£189.85","4.7 out of 5 stars","154"
"5","Adastra | Weatherproof Outdoor Speaker | 120W | Black 6.5""","£107.99£107.99","4.5 out of 5 stars","28"
"6","Edifier MS50A Wi-Fi Smart Speaker Without Microphone, Works with Alexa, Supports AirPlay 2, Spotify Connect, 40W RMS One-Piece Wi-Fi and Bluetooth Sound System","£212.51£212.51","4.5 out of 5 stars","7"
"7","VIBE Audio Critical Link 6.5""Replacement Speaker - Single Pack","£629.95£629.95","4.5 out of 5 stars","25"
"8","LG XBOOM 360 RP4 Omnidirectional 360˚Sound Portable Wireless Bluetooth Speaker with Mood Lighting, Up to 10 Hours Battery, Indoor/Outdoor - Peacock Green","£274.99£274.99",NA,"17"
"9","Denon SC-M41-CW Shelf Speakers (1 Pair) (CHERRY)","£188.10£188.10",NA,"294"
"10","Adastra BC3W 3 Inch Wall Mountable Speakers Two-Way Home Audio Installation HiFi Stereo 60W White","£91.66£91.66",NA,"30"
"11","AZDelivery 6x DFplayer Mini 3 watt 8 ohm portable small speakers with JST-PH2.0 mm pin interface for electronic DIY projects including eBook","£24.29£24.29",NA,"80"
"12","Loops 100W Speaker System - Bluetooth In-Wall Mounted Amplifier - 2x 80W Moisture Resistant Stereo Bathroom Ceiling Speaker Kit - Wireless Music Streaming Amp","£33.29£33.29",NA,"3"
"13","AV LINK 2 Way Loudspeaker Selector, Black","£35.82£35.82",NA,"189"
"14","DALI Phantom E-50 Built-in Speaker Pair White","£27.40£27.40",NA,"27"
"15","e-audio 3 3-Way Background Music Speakers With Brackets 80W 4 Ohm","£314.10£314.10",NA,"204"
"16","LG SH5 - 2.1 Channel 320 W Wireless Subwoofer, Metallic Design","£29.16£29.16",NA,"339"
"17","8"" Ceiling Speaker With Directional High Frequency Tweeter","£404.10£404.10",NA,"6"
"18","MILISTEN 8pcs Speaker Port Tube Subwoofer Bass Reflex Tube Bass Woofer Box Port Tube Vent 40mm","£494.10£494.10",NA,"4"
"19","Pioneer TS-G170C 17 cm Separate 2-way Speaker System (300W)","£91.66£91.66",NA,"777"
"20","VIBE SLICK PRO BOX Raggarplanka speaker system","£99.99£99.99",NA,"1"
