"","Name","speakerPrice","speakerRatings","speakerReview"
"30","CORSAIR K70 CORE RGB Mechanical Wired Gaming Keyboard with Palmrest – Pre-lubricated Corsair MLX Red Linear Switches – Sound Dampening – iCUE Compatible – QWERTY UK – PC, Mac, PS5, PS4, Xbox – Black","£72.78£72.78","4.5 out of 5 stars","3,190"
"31","Logitech MK295 Silent Wireless Mouse & Keyboard Combo with SilentTouch Technology, Full Numpad, Advanced Optical Tracking, Lag-Free Wireless, 90% Less Noise, QWERTY UK English Layout - Black","£53.99£53.99","4.5 out of 5 stars","720"
"32","MageGee 75% Mechanical Gaming Keyboard with Red Switch, LED Blue Backlit Keyboard, 87 Keys Compact TKL Wired Computer Keyboard for Windows Laptop PC Gamer - Grey/White","£11.66£11.66","4.0 out of 5 stars","18"
"33","60% Gaming Keyboard, 87 Keys Mechanical Feeling Multi Color RGB Illuminated LED Backlit Wired Light Up Keyboard, Anti ghosting Mini Compact Waterproof TKL PBT Keycaps for PC/Laptop/Computer, Black","£14.16£14.16","4.4 out of 5 stars","12,425"
"34","HP Keyboard 100 - Wired USB with Height Adjust & Number Pad. Compatible with Windows PC, Notebook, Laptop, Mac","£24.37£24.37","4.3 out of 5 stars","2,361"
"35","NEWMEN GM326 Wired Gaming Keyboard,75% Percent TKL Hot Swappable Compact LED Backlit USB C Mechanical Gaming Keyboard with Knob for PC Windows Mac,QWERTY Layout,White,Red Switches","£37.49£37.49","4.0 out of 5 stars","10"
"36","Orzly Gaming Keyboard RGB USB Wired Rainbow Keyboard Designed for PC Gamers, PS4, PS5, Laptop, Xbox, Nintendo Switch, RX250-K Hornet Edition (Black)","£98.99£98.99","4.5 out of 5 stars","2,963"
"37","Arteck 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad and Media Hotkey for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7","£39.99£39.99","4.5 out of 5 stars","6,693"
"38","CiT KB-738 Premium Mini USB Keyboard - Black","£49.99£49.99","4.3 out of 5 stars","2,109"
"39","Apple Magic Keyboard: Bluetooth, rechargeable. Works with Mac, iPad or iPhone; British English, silver","£69.16£69.16","4.3 out of 5 stars","267"
"40","iClever Wireless Bluetooth Keyboard, Keyboard Rechargeable Bluetooth 5.1 Stable Connection to Multi Devices Silent Slim Keyboard for Mac, iPad, iPhone, iOS, Android, Windows, QWERTY UK Layout","£33.32£33.32","4.6 out of 5 stars","1,539"
"41","Wireless Keyboard Mouse Combo, cimetech 2.4G Ultra-Thin Keyboard and Mouse Set with Sleek Ergonomic Silent Design & Stable Connection for Windows PC Laptop Computer (QWERTY UK Layout, Black)","£24.16£24.16","4.2 out of 5 stars","3,602"
"42","Apple Magic Keyboard with Touch ID: Bluetooth, rechargeable. Works with Mac computers silicon; British English, white keys","£24.99£24.99","4.7 out of 5 stars","1,250"
"43","Logitech G G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys, QWERTY UK Layout - Black","£8.32£8.32","4.3 out of 5 stars","8,184"
"44","TQQ Wireless Keyboard, iPad Keyboard, Rechargeable Bluetooth Keyboard for iPad 10th/iPad Pro/iPad Air/iPad Mini, Tablet and Other Bluetooth Enabled Devices for iOS, Android, Windows Etc","£21.66£21.66","4.3 out of 5 stars","55"
"45","Logitech K400 Plus Wireless Touch TV Keyboard With Easy Media Control and Built-in Touchpad, HTPC Keyboard for PC-connected TV, Windows, Android, Chrome OS, Laptop, QWERTY UK English Layout - Black","£30.41£30.41","4.5 out of 5 stars","8,610"
"46","Arteck Solar Wireless Keyboard Full Size Solar Recharging Keyboard for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8 / 7 / Vista/XP Built in Rechargeable Battery","£37.49£37.49","4.3 out of 5 stars","627"
"47","Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts,Slim and Portable,Easy-Switch for Windows/macOS/iPadOS/Android/Chrome OS, QWERTY UK Layout, Graphite","£74.69£74.69","4.3 out of 5 stars","95"
"48","Razer BlackWidow V3 Tenkeyless (Green Switch) - Compact Mechanical Gaming Keyboard (Clicky Mechanical Switches, Compact Form Factor, Fully Programmable Keys) UK Layout | Black","£89.99£89.99","4.5 out of 5 stars","3,001"
"49","B.FRIENDIT Slim USB Wired Keyboard, Soft Touch and Quiet Key for PC, Laptop and Computer, Full Size QWERTY UK Layout - Silver White","£22.49£22.49","4.3 out of 5 stars","328"
"50","iClever Wireless Keyboard, Bluetooth Keyboard Stable Connection to Multi Devices Rechargeable Slim Keyboard for Mac, iPad, Android, Windows, QWERTY UK Layout -Black","£27.49£27.49","4.3 out of 5 stars","3,889"
"51","ASUS TUF Gaming K1 RGB keyboard with dedicated volume knob, spill-resistance, side light bar and Armoury Crate","£36.89£36.89","4.5 out of 5 stars","141"
"52","Logitech Signature K650 Wireless Keyboard with Wrist Rest, Full-Size, BLE Bluetooth or Logi Bolt USB, Comfort Deep-Cushioned Keys, Numpad, Compatible with most OS/PC/Windows/Mac, QWERTY UK - Grey","£44.99£44.99","4.3 out of 5 stars","118"
"53","Rapoo NK2000 Wired Spill-resistant Keyboard - Black (QWERTY)","£11.69£11.69","4.0 out of 5 stars","22"
"54","Trust Ody Silent Wireless Keyboard QWERTY UK Layout, Membrane Low Profile Keys, Spill-Resistant, USB Receiver RF 2.4GHz, Batteries Included, Quiet Computer Keyboard for PC, Laptop, Mac - Black","£13.45£13.45","4.0 out of 5 stars","302"
"55","Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit,Ultra-Compact Mini Keyboard with Detachable Cable,Black and White Color","£16.19£16.19","4.0 out of 5 stars","9,537"
"56","Wireless Keyboard & Mouse Sets - Slim Thin Wireless Keyboards and Mouse Combo Full Size Keyboard with Numeric Keypad Adjustable DPI Wireless Mouse - Black","£26.99£26.99","4.4 out of 5 stars","1,258"
"57","ASHU Backlit Multi-Device Bluetooth Keyboard for Tablet Phone Computer - Wireless Illuminated Rechargeable Keyboard with Number Pad Connect Up to 4 Devices Compatible Mac Android iOS Windows","£31.99£31.99","5.0 out of 5 stars","1"
"58","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Linear Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White","£23.32£23.32","4.6 out of 5 stars","6,458"
"59","Razer Huntsman V2 (Analog Switch) - Optical Gaming Keyboard with Near-Zero Input Latency (Analog Optical-Mechanical Switches, Doubleshot PBT Keycaps, Detachable USB-C Cable) UK Layout | Black","£33.32£33.32","4.6 out of 5 stars","5,472"
"60","Corsair K55 CORE RGB Membrane Wired Gaming Keyboard – Quiet, Responsive Switches – Spill Resistance – Ten-Zone RGB – Media Keys – iCUE Compatible – QWERTY UK – PC, Mac – Black","£76.26£76.26","4.6 out of 5 stars","6"
"61","MageGee 60 Percent Gaming Mechanical Keyboard, Minimalist MK-Box Blue Backlit Compact 68 Keys Wired Office Keyboard with Red Switch for Windows Laptop PC Mac Convenient(Gray & Black)","£16.66£16.66","4.5 out of 5 stars","1,077"
"62","Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal Build - Graphite","£19.16£19.16","4.2 out of 5 stars","4,805"
"63","2.4G Wireless Keyboard, QWERTY UK Layout Mini Keyboard, USB Computer Keyboard with Compact Design & Ergonomic Keys for Desktop/PC/Laptop/Surface/Smart TV/Notebook and Windows","£30.43£30.43","4.7 out of 5 stars","886"
"64","CORSAIR K70 PRO RGB Optical-Mechanical Wired Gaming Keyboard – OPX Linear Switches – PBT Double-Shot Keycaps – iCUE Compatible – QWERTY UK – PC, Xbox – White","£41.66£41.66","4.7 out of 5 stars","67"
"65","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White","£89.99£89.99","4.7 out of 5 stars","2,708"
"66","Arteck Universal Bluetooth Keyboard Multi-Device Stainless Steel Full Size Wireless Keyboard for Windows, iOS, Android, Computer Desktop Laptop Surface Tablet Smartphone Built in Rechargeable Battery","£161.99£161.99","4.0 out of 5 stars","797"
"67","Trust Taro USB Wired Keyboard French AZERTY Layout, Silent Keys, Spill Resistant, 180 cm Cable, for PC, Desktop, Macbook, Laptop, Work, Business - Black","£104.35£104.35","4.3 out of 5 stars","1,241"
"68","HP Wired Desktop 320K keyboard","£9.99£9.99","4.4 out of 5 stars","65"
"69","Arteck USB Wired Keyboard Universal Backlit 7-Colors & Adjustable Brightness Full Size Keyboard with 1.8M Wire, Numeric Keypad and Media Hotkey for Computer Desktop PC Laptop and Windows 11 10 8 7","£12.49£12.49","4.5 out of 5 stars","1,675"
"70","Power PC Keyboard Black","£28.32£28.32","4.5 out of 5 stars","1"
"71","Redragon K512 Shiva RGB Backlit Membrane Gaming Keyboard US-Layout with Multimedia Keys, Linear Mechanical-Feel Switch, 6 Extra On-Board Macro Keys, Dedicated Media Control, Detachable Wrist Rest","£9.89£9.89","4.6 out of 5 stars","2,972"
"72","SteelSeries Apex 7 TKL - Mechanical Gaming Keyboard - OLED Display - Red Switches - American (QWERTY) Layout","£24.16£24.16","4.7 out of 5 stars","4,263"
"73","HP 230 Wireless Mouse and Keyboard Combo, quiet and comfortable keystrokes, Number Pad, QWERTY UK Layout, 1600 DPI Optical Mouse Sensor, 2.4GHz Wireless USB dongle included, White","£34.16£34.16","4.4 out of 5 stars","187"
"74","Arteck 2.4G Wireless Keyboard and Mouse Combo Stainless Steel Ultra Slim Full Size Keyboard Keyboard and Ergonomic Mice for Computer Desktop PC Laptop and Windows 10/8/7 Build in Rechargeable Battery","£26.66£26.66","4.4 out of 5 stars","1,561"
"75","Arteck Universal Bluetooth Keyboard Stainless Steel Full Size UK Layout Wireless Keyboard for Windows, iOS, Android, Computer Desktop PC Laptop Surface Tablet Smartphone Built in Rechargeable Battery","£134.99£134.99","4.6 out of 5 stars","487"
"76","Dell KB-522 Wired Business Multimedia USB Keyboard Black 580-17669 *Same as 580-17669*","£33.32£33.32","4.5 out of 5 stars","429"
"77","HP Classic Black Wired USB Keyboard","£30.95£30.95","4.1 out of 5 stars","51"
