"","speakerName","speakerPrice","speakerRatings","speakerReview","Name","productname","productreviewer","datereviewed","reviews","rating"
"137",NA,"£39.99£39.99","4.5 out of 5 stars","6,693","Arteck 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad and Media Hotkey for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8/ 7",NA,NA,NA,NA,NA
"138",NA,"£49.99£49.99","4.3 out of 5 stars","2,109","CiT KB-738 Premium Mini USB Keyboard - Black",NA,NA,NA,NA,NA
"139",NA,"£69.16£69.16","4.3 out of 5 stars","267","Apple Magic Keyboard: Bluetooth, rechargeable. Works with Mac, iPad or iPhone; British English, silver",NA,NA,NA,NA,NA
"140",NA,"£33.32£33.32","4.6 out of 5 stars","1,539","iClever Wireless Bluetooth Keyboard, Keyboard Rechargeable Bluetooth 5.1 Stable Connection to Multi Devices Silent Slim Keyboard for Mac, iPad, iPhone, iOS, Android, Windows, QWERTY UK Layout",NA,NA,NA,NA,NA
"141",NA,"£24.16£24.16","4.2 out of 5 stars","3,602","Wireless Keyboard Mouse Combo, cimetech 2.4G Ultra-Thin Keyboard and Mouse Set with Sleek Ergonomic Silent Design & Stable Connection for Windows PC Laptop Computer (QWERTY UK Layout, Black)",NA,NA,NA,NA,NA
"142",NA,"£24.99£24.99","4.7 out of 5 stars","1,250","Apple Magic Keyboard with Touch ID: Bluetooth, rechargeable. Works with Mac computers silicon; British English, white keys",NA,NA,NA,NA,NA
"143",NA,"£8.32£8.32","4.3 out of 5 stars","8,184","Logitech G G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys, QWERTY UK Layout - Black",NA,NA,NA,NA,NA
"144",NA,"£21.66£21.66","4.3 out of 5 stars","55","TQQ Wireless Keyboard, iPad Keyboard, Rechargeable Bluetooth Keyboard for iPad 10th/iPad Pro/iPad Air/iPad Mini, Tablet and Other Bluetooth Enabled Devices for iOS, Android, Windows Etc",NA,NA,NA,NA,NA
"145",NA,"£30.41£30.41","4.5 out of 5 stars","8,610","Logitech K400 Plus Wireless Touch TV Keyboard With Easy Media Control and Built-in Touchpad, HTPC Keyboard for PC-connected TV, Windows, Android, Chrome OS, Laptop, QWERTY UK English Layout - Black",NA,NA,NA,NA,NA
"146",NA,"£37.49£37.49","4.3 out of 5 stars","627","Arteck Solar Wireless Keyboard Full Size Solar Recharging Keyboard for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8 / 7 / Vista/XP Built in Rechargeable Battery",NA,NA,NA,NA,NA
"147",NA,"£74.69£74.69","4.3 out of 5 stars","95","Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts,Slim and Portable,Easy-Switch for Windows/macOS/iPadOS/Android/Chrome OS, QWERTY UK Layout, Graphite",NA,NA,NA,NA,NA
"148",NA,"£89.99£89.99","4.5 out of 5 stars","3,001","Razer BlackWidow V3 Tenkeyless (Green Switch) - Compact Mechanical Gaming Keyboard (Clicky Mechanical Switches, Compact Form Factor, Fully Programmable Keys) UK Layout | Black",NA,NA,NA,NA,NA
"149",NA,"£22.49£22.49","4.3 out of 5 stars","328","B.FRIENDIT Slim USB Wired Keyboard, Soft Touch and Quiet Key for PC, Laptop and Computer, Full Size QWERTY UK Layout - Silver White",NA,NA,NA,NA,NA
"150",NA,"£27.49£27.49","4.3 out of 5 stars","3,889","iClever Wireless Keyboard, Bluetooth Keyboard Stable Connection to Multi Devices Rechargeable Slim Keyboard for Mac, iPad, Android, Windows, QWERTY UK Layout -Black",NA,NA,NA,NA,NA
"151",NA,"£36.89£36.89","4.5 out of 5 stars","141","ASUS TUF Gaming K1 RGB keyboard with dedicated volume knob, spill-resistance, side light bar and Armoury Crate",NA,NA,NA,NA,NA
"152",NA,"£44.99£44.99","4.3 out of 5 stars","118","Logitech Signature K650 Wireless Keyboard with Wrist Rest, Full-Size, BLE Bluetooth or Logi Bolt USB, Comfort Deep-Cushioned Keys, Numpad, Compatible with most OS/PC/Windows/Mac, QWERTY UK - Grey",NA,NA,NA,NA,NA
"153",NA,"£11.69£11.69","4.0 out of 5 stars","22","Rapoo NK2000 Wired Spill-resistant Keyboard - Black (QWERTY)",NA,NA,NA,NA,NA
"154",NA,"£13.45£13.45","4.0 out of 5 stars","302","Trust Ody Silent Wireless Keyboard QWERTY UK Layout, Membrane Low Profile Keys, Spill-Resistant, USB Receiver RF 2.4GHz, Batteries Included, Quiet Computer Keyboard for PC, Laptop, Mac - Black",NA,NA,NA,NA,NA
"155",NA,"£16.19£16.19","4.0 out of 5 stars","9,537","Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit,Ultra-Compact Mini Keyboard with Detachable Cable,Black and White Color",NA,NA,NA,NA,NA
"156",NA,"£26.99£26.99","4.4 out of 5 stars","1,258","Wireless Keyboard & Mouse Sets - Slim Thin Wireless Keyboards and Mouse Combo Full Size Keyboard with Numeric Keypad Adjustable DPI Wireless Mouse - Black",NA,NA,NA,NA,NA
"157",NA,"£31.99£31.99","5.0 out of 5 stars","1","ASHU Backlit Multi-Device Bluetooth Keyboard for Tablet Phone Computer - Wireless Illuminated Rechargeable Keyboard with Number Pad Connect Up to 4 Devices Compatible Mac Android iOS Windows",NA,NA,NA,NA,NA
"158",NA,"£23.32£23.32","4.6 out of 5 stars","6,458","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Linear Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White",NA,NA,NA,NA,NA
"159",NA,"£33.32£33.32","4.6 out of 5 stars","5,472","Razer Huntsman V2 (Analog Switch) - Optical Gaming Keyboard with Near-Zero Input Latency (Analog Optical-Mechanical Switches, Doubleshot PBT Keycaps, Detachable USB-C Cable) UK Layout | Black",NA,NA,NA,NA,NA
"160",NA,"£76.26£76.26","4.6 out of 5 stars","6","Corsair K55 CORE RGB Membrane Wired Gaming Keyboard – Quiet, Responsive Switches – Spill Resistance – Ten-Zone RGB – Media Keys – iCUE Compatible – QWERTY UK – PC, Mac – Black",NA,NA,NA,NA,NA
"161",NA,"£16.66£16.66","4.5 out of 5 stars","1,077","MageGee 60 Percent Gaming Mechanical Keyboard, Minimalist MK-Box Blue Backlit Compact 68 Keys Wired Office Keyboard with Red Switch for Windows Laptop PC Mac Convenient(Gray & Black)",NA,NA,NA,NA,NA
"162",NA,"£19.16£19.16","4.2 out of 5 stars","4,805","Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal Build - Graphite",NA,NA,NA,NA,NA
"163",NA,"£30.43£30.43","4.7 out of 5 stars","886","2.4G Wireless Keyboard, QWERTY UK Layout Mini Keyboard, USB Computer Keyboard with Compact Design & Ergonomic Keys for Desktop/PC/Laptop/Surface/Smart TV/Notebook and Windows",NA,NA,NA,NA,NA
"164",NA,"£41.66£41.66","4.7 out of 5 stars","67","CORSAIR K70 PRO RGB Optical-Mechanical Wired Gaming Keyboard – OPX Linear Switches – PBT Double-Shot Keycaps – iCUE Compatible – QWERTY UK – PC, Xbox – White",NA,NA,NA,NA,NA
"165",NA,"£89.99£89.99","4.7 out of 5 stars","2,708","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White",NA,NA,NA,NA,NA
"166",NA,"£161.99£161.99","4.0 out of 5 stars","797","Arteck Universal Bluetooth Keyboard Multi-Device Stainless Steel Full Size Wireless Keyboard for Windows, iOS, Android, Computer Desktop Laptop Surface Tablet Smartphone Built in Rechargeable Battery",NA,NA,NA,NA,NA
"167",NA,"£104.35£104.35","4.3 out of 5 stars","1,241","Trust Taro USB Wired Keyboard French AZERTY Layout, Silent Keys, Spill Resistant, 180 cm Cable, for PC, Desktop, Macbook, Laptop, Work, Business - Black",NA,NA,NA,NA,NA
"168",NA,"£9.99£9.99","4.4 out of 5 stars","65","HP Wired Desktop 320K keyboard",NA,NA,NA,NA,NA
"169",NA,"£12.49£12.49","4.5 out of 5 stars","1,675","Arteck USB Wired Keyboard Universal Backlit 7-Colors & Adjustable Brightness Full Size Keyboard with 1.8M Wire, Numeric Keypad and Media Hotkey for Computer Desktop PC Laptop and Windows 11 10 8 7",NA,NA,NA,NA,NA
"170",NA,"£28.32£28.32","4.5 out of 5 stars","1","Power PC Keyboard Black",NA,NA,NA,NA,NA
"171",NA,"£9.89£9.89","4.6 out of 5 stars","2,972","Redragon K512 Shiva RGB Backlit Membrane Gaming Keyboard US-Layout with Multimedia Keys, Linear Mechanical-Feel Switch, 6 Extra On-Board Macro Keys, Dedicated Media Control, Detachable Wrist Rest",NA,NA,NA,NA,NA
"172",NA,"£24.16£24.16","4.7 out of 5 stars","4,263","SteelSeries Apex 7 TKL - Mechanical Gaming Keyboard - OLED Display - Red Switches - American (QWERTY) Layout",NA,NA,NA,NA,NA
"173",NA,"£34.16£34.16","4.4 out of 5 stars","187","HP 230 Wireless Mouse and Keyboard Combo, quiet and comfortable keystrokes, Number Pad, QWERTY UK Layout, 1600 DPI Optical Mouse Sensor, 2.4GHz Wireless USB dongle included, White",NA,NA,NA,NA,NA
"174",NA,"£26.66£26.66","4.4 out of 5 stars","1,561","Arteck 2.4G Wireless Keyboard and Mouse Combo Stainless Steel Ultra Slim Full Size Keyboard Keyboard and Ergonomic Mice for Computer Desktop PC Laptop and Windows 10/8/7 Build in Rechargeable Battery",NA,NA,NA,NA,NA
"175",NA,"£134.99£134.99","4.6 out of 5 stars","487","Arteck Universal Bluetooth Keyboard Stainless Steel Full Size UK Layout Wireless Keyboard for Windows, iOS, Android, Computer Desktop PC Laptop Surface Tablet Smartphone Built in Rechargeable Battery",NA,NA,NA,NA,NA
"176",NA,"£33.32£33.32","4.5 out of 5 stars","429","Dell KB-522 Wired Business Multimedia USB Keyboard Black 580-17669 *Same as 580-17669*",NA,NA,NA,NA,NA
"177",NA,"£30.95£30.95","4.1 out of 5 stars","51","HP Classic Black Wired USB Keyboard",NA,NA,NA,NA,NA
"178",NA,"£33.32£33.32","3.0 out of 5 stars","1,018","Wireless Keyboard and Mouse Set, Full Size Wireless Keyboard Ergonomic Design & Quiet USB Cordless Mouse Combo UK Layout, 12 Multimedia Shortcuts for Windows Computer PC Laptop Desktop,Black",NA,NA,NA,NA,NA
"179",NA,"£8.99£8.99","4.3 out of 5 stars","4,263","SteelSeries Apex 7 - Mechanical Gaming Keyboard - OLED Display - Brown Switches - English (QWERTY) Layout",NA,NA,NA,NA,NA
"180",NA,"£15.82£15.82","4.3 out of 5 stars","4,567","Logitech MK850 Multi-Device Wireless Keyboard and Mouse Combo, 2.4GHz Wireless and Bluetooth, Curved Keyframe & Wireless Mouse, 12 Programmable Keys, 3-Year Battery Life, PC/Mac, QWERTY UK Layout",NA,NA,NA,NA,NA
"181",NA,"£17.49£17.49","4.5 out of 5 stars","116","B.FRIENDIT Slim USB Wired Keyboard – UK Layout Soft Touch and Quiet Key, Compatible with Apple iMac, Macbook, Mac and PC, Computer Keyboard with Numeric Keypad – Space Gray",NA,NA,NA,NA,NA
"182",NA,"£30.82£30.82","4.3 out of 5 stars","529","Arteck Split Ergonomic Keyboard with Cushioned Wrist and Palm Rest, 2.4G USB Wireless Comfortable Natural Ergonomic Split Keyboard, for Windows Computer Desktop Laptop",NA,NA,NA,NA,NA
"183",NA,"£26.66£26.66","4.6 out of 5 stars","249","Perixx PERIBOARD-416 Wired Mini USB Keyboard with 4 Hubs - Scissor Keys - Big Print Keys - Detachable USB-A Cable - UK English",NA,NA,NA,NA,NA
"184",NA,"£23.32£23.32","4.4 out of 5 stars","74","Perixx PERIBOARD-215B UK, Wired USB-C Keyboard - Ultra Slim Scissor Keys - Build-in 2x2 USB-C & A Hubs - 2x Detachable USB-C & A Cable - Black - UK Layout",NA,NA,NA,NA,NA
"185",NA,"£43.32£43.32","4.2 out of 5 stars","32","Trust Ody Wired Keyboard, Full-Size Keyboard, QWERTY UK Layout, Silent Keys, Spill-Resistant, 1.8 m Cable, USB Plug and Play, Keyboard for PC, Laptop, Mac - Black",NA,NA,NA,NA,NA
"186",NA,"£23.32£23.32","4.0 out of 5 stars","367","Trust Gaming GXT 1863 Thaz Mechanical Keyboard with UK Layout - Mechanical Outemu RED Switches, Anti-Ghosting N-key Rollover, 14 Colour Modes, USB Plug and Play, PC/Mac/Laptop [Amazon Exclusive]",NA,NA,NA,NA,NA
"187",NA,"£20.69£20.69","4.1 out of 5 stars","333","Dell Multi-Device Wireless Keyboard and Mouse Combo KM7120W - Tastatur-und-Maus-Set - UK QWERTY - T",NA,NA,NA,NA,NA
"188",NA,"£12.50£12.50","4.4 out of 5 stars","8,055","Arteck 2.4G Wireless Keyboard Stainless Steel Ultra Slim Full Size Keyboard for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8 / 7 Built in Rechargeable 6-Month Battery",NA,NA,NA,NA,NA
"189",NA,"£13.49£13.49","4.2 out of 5 stars","3,064","TECKNET Wireless Keyboard and Mouse Set, Ergonomic 2.4G Cordless Keyboard & Mouse Combo Silent, Full-Size Keyboard, Spill-Resistant with Nano USB Receiver for PC, Laptop, Computer - QWERTY, UK Layout",NA,NA,NA,NA,NA
"190",NA,"£57.57£57.57","4.2 out of 5 stars","19","Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts,Slim and Portable, Easy-Switch for Windows/macOS/iPadOS/Android/Chrome OS, QWERTY UK Layout, White",NA,NA,NA,NA,NA
"191",NA,"£65.07£65.07","4.6 out of 5 stars","211","EPOMAKER CIDOO V75 VIA Programmable Mechanical Keyboard, 81 Keys Gasket Tri-Mode Gaming Keyboard with South-facing LED, Rotary Knob, Poron Foam for E-sport Mac Win",NA,NA,NA,NA,NA
"192",NA,"£41.99£41.99","4.5 out of 5 stars","9,549","RK ROYAL KLUDGE RK61 QMK/VIA Custom 60% Mechanical Keyboard, Wired Gaming Keyboard Programmable 61 Keys RGB Backlit Ultra-Compact Hot-Swappable US Layout（Red Switch，White）",NA,NA,NA,NA,NA
"193",NA,"£44.99£44.99","3.6 out of 5 stars","108","ASIDE USB Wired Mini Keyboard, Slim Ergonomic Keyboard Small Compact Simple Wired Business Keyboard for Laptop and Desktop Computer, Plug and Play",NA,NA,NA,NA,NA
"194",NA,"£18.32£18.32","4.5 out of 5 stars","926","Dell KM636 - Keyboard and Mouse Set - Wireless - QWERTY - UK - White - for Inspiron 55XX, Latitude 33XX 2-in-1, Precision Mobile Workstation 5750, 77XX, Vostro 36XX",NA,NA,NA,NA,NA
"195",NA,"£116.66£116.66","4.5 out of 5 stars","7,810","Kensington Pro Fit Low-Profile Wireless Keyboard and Mouse Set Desktop, Multimedia Keys, Ambidextrous, Home Office Keyboard and Mouse Set QWERTY, (K75230UK), Black",NA,NA,NA,NA,NA
"196",NA,"£12.99£12.99","4.2 out of 5 stars","324","Logitech MK220 Compact Wireless Keyboard and Mouse Combo for Windows, 2.4 GHz Wireless with Unifying USB-Receiver, 24 Month Battery, Compatible with PC, Laptop, QWERTY UK English Layout - Black",NA,NA,NA,NA,NA
"197",NA,"£19.16£19.16","4.5 out of 5 stars","695","TECURS Wireless Keyboard QWERTY UK Layout, 2.4G Wireless Gaming Keyboard, LED Backlit, Ergonomic, Quiet, Waterproof, Full Size Keyboard with Multimedia Keys for Computer/PC/Laptop/MAC/Windows",NA,NA,NA,NA,NA
"198",NA,"£49.96£49.96","4.4 out of 5 stars","188","HP 230 Wireless Keyboard, quiet and comfortable keystrokes, Number Pad, QWERTY UK Layout, compatible with Windows PC, Chromebook, Laptop, Mac, Up to 16 Months Battery, USB dongle included",NA,NA,NA,NA,NA
"199",NA,"£24.16£24.16","4.6 out of 5 stars","372","Arteck HW305-2 2.4G Wireless Keyboard Ultra Slim Full Size Keyboard with Numeric Keypad and Media Hotkey for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 11/10 Built-in Rechargeable Battery",NA,NA,NA,NA,NA
"200",NA,"£22.49£22.49","4.4 out of 5 stars","4,679","Rechargeable Wireless Keyboard Mouse, seenda Ultra Thin Quiet USB Keyboard and Mouse Set with Numeric Keypad QWERTY UK Layout for Windows PC Laptop Computer-Space Gray",NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Sean","Reviewed in Australia on 9 December 2023","This is my third of these. Getting FireTV to Ethernet really improves everything.","4.5 out of 5 stars"
"202",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chris","Reviewed in Australia on 4 October 2023","It works, but is a clunky product that adds to the cable mess. I'd much rather a fire stick model with integrated Ethernet port, even if it cost the same as these two (stick+adapter) combined. Laptop USB to Ethernet adapter is tiny, why does this need to be large with an extra short cable?Works so 4 stars.","5.0 out of 5 stars"
"203",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Simon (VIC)","Reviewed in Australia on 12 March 2024","Very good","3.0 out of 5 stars"
"204",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Matthew","Reviewed in Australia on 31 January 2024","Tem arrived quickly. Easy to setup and improves data speed.","5.0 out of 5 stars"
"205",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Very good ","Reviewed in Australia on 29 January 2024","I have 1000mbps down and this limits my Firestick to about 90 mbps. I get about 150mbps using wifi6 (because vpn) and after extensive testing, Wifi is faster and i ended up removing it. However, it does work. Just not what I needed.","4.0 out of 5 stars"
"206",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Doug Steele","Reviewed in Australia on 5 January 2024","A must for simple and secure.A must for speed.Remote works even better with this","5.0 out of 5 stars"
"207",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Munhumutapa","Reviewed in Australia on 4 January 2024","Saves plugging in power point no need for cables very good thanks","5.0 out of 5 stars"
"208",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Sean","Reviewed in Australia on 9 December 2023","Needs a 5 year warranty, didn't last as long as my firetv... is just a generic cat5 to usb connector...wont be getting another, wifi is decent at our house so we have no issue with that so this is waste of money and fails after only two years.","4.0 out of 5 stars"
"209",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Ken McMillan","Reviewed in Australia on 5 November 2023","Does what it supposed to, keeps streaming speeds constant","5.0 out of 5 stars"
"210",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chris","Reviewed in Australia on 4 October 2023","Not enough oomph for Disney and Netflix 4k, 100 mps to slow, both above need the 1 gig ethernet","5.0 out of 5 stars"
"211",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Abul Quamer","Reviewed in Australia on 9 December 2023","This is my third of these. Getting FireTV to Ethernet really improves everything.","4.4 out of 5 stars"
"212",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","ozbargainer","Reviewed in Australia on 2 January 2024","It works, but is a clunky product that adds to the cable mess. I'd much rather a fire stick model with integrated Ethernet port, even if it cost the same as these two (stick+adapter) combined. Laptop USB to Ethernet adapter is tiny, why does this need to be large with an extra short cable?Works so 4 stars.","5.0 out of 5 stars"
"213",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Robin","Reviewed in Australia on 4 March 2024","Very good","3.0 out of 5 stars"
"214",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Andre Louhanapessy","Reviewed in Australia on 20 February 2024","Tem arrived quickly. Easy to setup and improves data speed.","5.0 out of 5 stars"
"215",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","John William Pritchard","Reviewed in Australia on 11 February 2024","I have 1000mbps down and this limits my Firestick to about 90 mbps. I get about 150mbps using wifi6 (because vpn) and after extensive testing, Wifi is faster and i ended up removing it. However, it does work. Just not what I needed.","5.0 out of 5 stars"
"216",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Will","Reviewed in Australia on 30 January 2024","A must for simple and secure.A must for speed.Remote works even better with this","5.0 out of 5 stars"
"217",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Llewellyn Biggar","Reviewed in Australia on 26 January 2024","Saves plugging in power point no need for cables very good thanks","5.0 out of 5 stars"
"218",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Steven E.","Reviewed in Australia on 8 January 2024","Needs a 5 year warranty, didn't last as long as my firetv... is just a generic cat5 to usb connector...wont be getting another, wifi is decent at our house so we have no issue with that so this is waste of money and fails after only two years.","5.0 out of 5 stars"
"219",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Pippa","Reviewed in Australia on 7 January 2024","Does what it supposed to, keeps streaming speeds constant","5.0 out of 5 stars"
"220",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chameleon","Reviewed in Australia on 27 December 2023","Not enough oomph for Disney and Netflix 4k, 100 mps to slow, both above need the 1 gig ethernet","5.0 out of 5 stars"
"221",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Sean","Reviewed in Australia on 9 December 2023","This is my third of these. Getting FireTV to Ethernet really improves everything.","4.5 out of 5 stars"
"222",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chris","Reviewed in Australia on 4 October 2023","It works, but is a clunky product that adds to the cable mess. I'd much rather a fire stick model with integrated Ethernet port, even if it cost the same as these two (stick+adapter) combined. Laptop USB to Ethernet adapter is tiny, why does this need to be large with an extra short cable?Works so 4 stars.","5.0 out of 5 stars"
"223",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Simon (VIC)","Reviewed in Australia on 12 March 2024","Very good","3.0 out of 5 stars"
"224",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Matthew","Reviewed in Australia on 31 January 2024","Tem arrived quickly. Easy to setup and improves data speed.","5.0 out of 5 stars"
"225",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Very good ","Reviewed in Australia on 29 January 2024","I have 1000mbps down and this limits my Firestick to about 90 mbps. I get about 150mbps using wifi6 (because vpn) and after extensive testing, Wifi is faster and i ended up removing it. However, it does work. Just not what I needed.","4.0 out of 5 stars"
"226",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Doug Steele","Reviewed in Australia on 5 January 2024","A must for simple and secure.A must for speed.Remote works even better with this","5.0 out of 5 stars"
"227",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Munhumutapa","Reviewed in Australia on 4 January 2024","Saves plugging in power point no need for cables very good thanks","5.0 out of 5 stars"
"228",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Sean","Reviewed in Australia on 9 December 2023","Needs a 5 year warranty, didn't last as long as my firetv... is just a generic cat5 to usb connector...wont be getting another, wifi is decent at our house so we have no issue with that so this is waste of money and fails after only two years.","4.0 out of 5 stars"
"229",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Ken McMillan","Reviewed in Australia on 5 November 2023","Does what it supposed to, keeps streaming speeds constant","5.0 out of 5 stars"
"230",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chris","Reviewed in Australia on 4 October 2023","Not enough oomph for Disney and Netflix 4k, 100 mps to slow, both above need the 1 gig ethernet","5.0 out of 5 stars"
"231",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Abul Quamer","Reviewed in Australia on 9 December 2023","This is my third of these. Getting FireTV to Ethernet really improves everything.","4.4 out of 5 stars"
"232",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","ozbargainer","Reviewed in Australia on 2 January 2024","It works, but is a clunky product that adds to the cable mess. I'd much rather a fire stick model with integrated Ethernet port, even if it cost the same as these two (stick+adapter) combined. Laptop USB to Ethernet adapter is tiny, why does this need to be large with an extra short cable?Works so 4 stars.","5.0 out of 5 stars"
"233",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Robin","Reviewed in Australia on 4 March 2024","Very good","3.0 out of 5 stars"
"234",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Andre Louhanapessy","Reviewed in Australia on 20 February 2024","Tem arrived quickly. Easy to setup and improves data speed.","5.0 out of 5 stars"
"235",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","John William Pritchard","Reviewed in Australia on 11 February 2024","I have 1000mbps down and this limits my Firestick to about 90 mbps. I get about 150mbps using wifi6 (because vpn) and after extensive testing, Wifi is faster and i ended up removing it. However, it does work. Just not what I needed.","5.0 out of 5 stars"
"236",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Will","Reviewed in Australia on 30 January 2024","A must for simple and secure.A must for speed.Remote works even better with this","5.0 out of 5 stars"
"237",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Llewellyn Biggar","Reviewed in Australia on 26 January 2024","Saves plugging in power point no need for cables very good thanks","5.0 out of 5 stars"
"238",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Steven E.","Reviewed in Australia on 8 January 2024","Needs a 5 year warranty, didn't last as long as my firetv... is just a generic cat5 to usb connector...wont be getting another, wifi is decent at our house so we have no issue with that so this is waste of money and fails after only two years.","5.0 out of 5 stars"
"239",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Pippa","Reviewed in Australia on 7 January 2024","Does what it supposed to, keeps streaming speeds constant","5.0 out of 5 stars"
"240",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chameleon","Reviewed in Australia on 27 December 2023","Not enough oomph for Disney and Netflix 4k, 100 mps to slow, both above need the 1 gig ethernet","5.0 out of 5 stars"
"241",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Sean","Reviewed in Australia on 9 December 2023","This is my third of these. Getting FireTV to Ethernet really improves everything.","4.5 out of 5 stars"
"242",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Chris","Reviewed in Australia on 4 October 2023","It works, but is a clunky product that adds to the cable mess. I'd much rather a fire stick model with integrated Ethernet port, even if it cost the same as these two (stick+adapter) combined. Laptop USB to Ethernet adapter is tiny, why does this need to be large with an extra short cable?Works so 4 stars.","5.0 out of 5 stars"
"243",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Simon (VIC)","Reviewed in Australia on 12 March 2024","Very good","3.0 out of 5 stars"
"244",NA,NA,NA,NA,NA,"Amazon Ethernet Adapter for Amazon Fire TV Devices","Matthew","Reviewed in Australia on 31 January 2024","Tem arrived quickly. Easy to setup and improves data speed.","5.0 out of 5 stars"
