"","Name","speakerPrice","speakerRatings","speakerReview"
"1","Wireless Keyboard Mouse Combo, cimetech 2.4G Ultra-Thin Keyboard and Mouse Set with Sleek Ergonomic Silent Design & Stable Connection for Windows PC Laptop Computer (QWERTY UK Layout, Black)","£24.16£24.16","4.2 out of 5 stars","3,602"
"2","Apple Magic Keyboard with Touch ID: Bluetooth, rechargeable. Works with Mac computers silicon; British English, white keys","£24.99£24.99","4.7 out of 5 stars","1,250"
"3","Logitech G G213 Prodigy Gaming Keyboard, LIGHTSYNC RGB Backlit Keys, Spill-Resistant, Customizable Keys, Dedicated Multi-Media Keys, QWERTY UK Layout - Black","£8.32£8.32","4.3 out of 5 stars","8,184"
"4","TQQ Wireless Keyboard, iPad Keyboard, Rechargeable Bluetooth Keyboard for iPad 10th/iPad Pro/iPad Air/iPad Mini, Tablet and Other Bluetooth Enabled Devices for iOS, Android, Windows Etc","£21.66£21.66","4.3 out of 5 stars","55"
"5","Logitech K400 Plus Wireless Touch TV Keyboard With Easy Media Control and Built-in Touchpad, HTPC Keyboard for PC-connected TV, Windows, Android, Chrome OS, Laptop, QWERTY UK English Layout - Black","£30.41£30.41","4.5 out of 5 stars","8,610"
"6","Arteck Solar Wireless Keyboard Full Size Solar Recharging Keyboard for Computer/Desktop/PC/Laptop/Surface/Smart TV and Windows 10/8 / 7 / Vista/XP Built in Rechargeable Battery","£37.49£37.49","4.3 out of 5 stars","627"
"7","Logitech Pebble Keys 2 K380s, Multi-Device Bluetooth Wireless Keyboard with Customisable Shortcuts,Slim and Portable,Easy-Switch for Windows/macOS/iPadOS/Android/Chrome OS, QWERTY UK Layout, Graphite","£74.69£74.69","4.3 out of 5 stars","95"
"8","Razer BlackWidow V3 Tenkeyless (Green Switch) - Compact Mechanical Gaming Keyboard (Clicky Mechanical Switches, Compact Form Factor, Fully Programmable Keys) UK Layout | Black","£89.99£89.99","4.5 out of 5 stars","3,001"
"9","B.FRIENDIT Slim USB Wired Keyboard, Soft Touch and Quiet Key for PC, Laptop and Computer, Full Size QWERTY UK Layout - Silver White","£22.49£22.49","4.3 out of 5 stars","328"
"10","iClever Wireless Keyboard, Bluetooth Keyboard Stable Connection to Multi Devices Rechargeable Slim Keyboard for Mac, iPad, Android, Windows, QWERTY UK Layout -Black","£27.49£27.49","4.3 out of 5 stars","3,889"
"11","ASUS TUF Gaming K1 RGB keyboard with dedicated volume knob, spill-resistance, side light bar and Armoury Crate","£36.89£36.89","4.5 out of 5 stars","141"
"12","Logitech Signature K650 Wireless Keyboard with Wrist Rest, Full-Size, BLE Bluetooth or Logi Bolt USB, Comfort Deep-Cushioned Keys, Numpad, Compatible with most OS/PC/Windows/Mac, QWERTY UK - Grey","£44.99£44.99","4.3 out of 5 stars","118"
"13","Rapoo NK2000 Wired Spill-resistant Keyboard - Black (QWERTY)","£11.69£11.69","4.0 out of 5 stars","22"
"14","Trust Ody Silent Wireless Keyboard QWERTY UK Layout, Membrane Low Profile Keys, Spill-Resistant, USB Receiver RF 2.4GHz, Batteries Included, Quiet Computer Keyboard for PC, Laptop, Mac - Black","£13.45£13.45","4.0 out of 5 stars","302"
"15","Snpurdiri 60% Wired Gaming Keyboard, RGB Backlit,Ultra-Compact Mini Keyboard with Detachable Cable,Black and White Color","£16.19£16.19","4.0 out of 5 stars","9,537"
"16","Wireless Keyboard & Mouse Sets - Slim Thin Wireless Keyboards and Mouse Combo Full Size Keyboard with Numeric Keypad Adjustable DPI Wireless Mouse - Black","£26.99£26.99","4.4 out of 5 stars","1,258"
"17","ASHU Backlit Multi-Device Bluetooth Keyboard for Tablet Phone Computer - Wireless Illuminated Rechargeable Keyboard with Number Pad Connect Up to 4 Devices Compatible Mac Android iOS Windows","£31.99£31.99","5.0 out of 5 stars","1"
"18","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Linear Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White","£23.32£23.32","4.6 out of 5 stars","6,458"
"19","Razer Huntsman V2 (Analog Switch) - Optical Gaming Keyboard with Near-Zero Input Latency (Analog Optical-Mechanical Switches, Doubleshot PBT Keycaps, Detachable USB-C Cable) UK Layout | Black","£33.32£33.32","4.6 out of 5 stars","5,472"
"20","Corsair K55 CORE RGB Membrane Wired Gaming Keyboard – Quiet, Responsive Switches – Spill Resistance – Ten-Zone RGB – Media Keys – iCUE Compatible – QWERTY UK – PC, Mac – Black","£76.26£76.26","4.6 out of 5 stars","6"
