"","Name","speakerPrice","speakerRatings","speakerReview"
"1","MageGee 60 Percent Gaming Mechanical Keyboard, Minimalist MK-Box Blue Backlit Compact 68 Keys Wired Office Keyboard with Red Switch for Windows Laptop PC Mac Convenient(Gray & Black)","£16.66£16.66","4.5 out of 5 stars","1,077"
"2","Logitech MX Keys Mini Minimalist Wireless Illuminated Keyboard, Compact, Bluetooth, Backlit, USB-C, Compatible with Apple macOS, iOS, Windows, Linux, Android, Metal Build - Graphite","£19.16£19.16","4.2 out of 5 stars","4,805"
"3","2.4G Wireless Keyboard, QWERTY UK Layout Mini Keyboard, USB Computer Keyboard with Compact Design & Ergonomic Keys for Desktop/PC/Laptop/Surface/Smart TV/Notebook and Windows","£30.43£30.43","4.7 out of 5 stars","886"
"4","CORSAIR K70 PRO RGB Optical-Mechanical Wired Gaming Keyboard – OPX Linear Switches – PBT Double-Shot Keycaps – iCUE Compatible – QWERTY UK – PC, Xbox – White","£41.66£41.66","4.7 out of 5 stars","67"
"5","Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Mercury White","£89.99£89.99","4.7 out of 5 stars","2,708"
"6","Arteck Universal Bluetooth Keyboard Multi-Device Stainless Steel Full Size Wireless Keyboard for Windows, iOS, Android, Computer Desktop Laptop Surface Tablet Smartphone Built in Rechargeable Battery","£161.99£161.99","4.0 out of 5 stars","797"
"7","Trust Taro USB Wired Keyboard French AZERTY Layout, Silent Keys, Spill Resistant, 180 cm Cable, for PC, Desktop, Macbook, Laptop, Work, Business - Black","£104.35£104.35","4.3 out of 5 stars","1,241"
"8","HP Wired Desktop 320K keyboard","£9.99£9.99","4.4 out of 5 stars","65"
"9","Arteck USB Wired Keyboard Universal Backlit 7-Colors & Adjustable Brightness Full Size Keyboard with 1.8M Wire, Numeric Keypad and Media Hotkey for Computer Desktop PC Laptop and Windows 11 10 8 7","£12.49£12.49","4.5 out of 5 stars","1,675"
"10","Power PC Keyboard Black","£28.32£28.32","4.5 out of 5 stars","1"
"11","Redragon K512 Shiva RGB Backlit Membrane Gaming Keyboard US-Layout with Multimedia Keys, Linear Mechanical-Feel Switch, 6 Extra On-Board Macro Keys, Dedicated Media Control, Detachable Wrist Rest","£9.89£9.89","4.6 out of 5 stars","2,972"
"12","SteelSeries Apex 7 TKL - Mechanical Gaming Keyboard - OLED Display - Red Switches - American (QWERTY) Layout","£24.16£24.16","4.7 out of 5 stars","4,263"
"13","HP 230 Wireless Mouse and Keyboard Combo, quiet and comfortable keystrokes, Number Pad, QWERTY UK Layout, 1600 DPI Optical Mouse Sensor, 2.4GHz Wireless USB dongle included, White","£34.16£34.16","4.4 out of 5 stars","187"
"14","Arteck 2.4G Wireless Keyboard and Mouse Combo Stainless Steel Ultra Slim Full Size Keyboard Keyboard and Ergonomic Mice for Computer Desktop PC Laptop and Windows 10/8/7 Build in Rechargeable Battery","£26.66£26.66","4.4 out of 5 stars","1,561"
"15","Arteck Universal Bluetooth Keyboard Stainless Steel Full Size UK Layout Wireless Keyboard for Windows, iOS, Android, Computer Desktop PC Laptop Surface Tablet Smartphone Built in Rechargeable Battery","£134.99£134.99","4.6 out of 5 stars","487"
"16","Dell KB-522 Wired Business Multimedia USB Keyboard Black 580-17669 *Same as 580-17669*","£33.32£33.32","4.5 out of 5 stars","429"
"17","HP Classic Black Wired USB Keyboard","£30.95£30.95","4.1 out of 5 stars","51"
"18","Wireless Keyboard and Mouse Set, Full Size Wireless Keyboard Ergonomic Design & Quiet USB Cordless Mouse Combo UK Layout, 12 Multimedia Shortcuts for Windows Computer PC Laptop Desktop,Black","£33.32£33.32","3.0 out of 5 stars","1,018"
"19","SteelSeries Apex 7 - Mechanical Gaming Keyboard - OLED Display - Brown Switches - English (QWERTY) Layout","£8.99£8.99","4.3 out of 5 stars","4,263"
"20","Logitech MK850 Multi-Device Wireless Keyboard and Mouse Combo, 2.4GHz Wireless and Bluetooth, Curved Keyframe & Wireless Mouse, 12 Programmable Keys, 3-Year Battery Life, PC/Mac, QWERTY UK Layout","£15.82£15.82","4.3 out of 5 stars","4,567"
