"","speakerName","speakerPrice","speakerRatings","speakerReview"
"35","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - Grey","£91.66£91.66","4.7 out of 5 stars","396"
"36","Dual Waterproof Outdoor Speaker System - 5.25'' Pair of Weatherproof Wall / Spring Loaded Speaker Terminal w/ Heavy Duty Grill, Universal Mount, For Pool, Patio, & Indoor Use- Pyle PDWR40B (Black)","£99.99£99.99",NA,"317"
"37","Lithe Audio 6.5"" 2-way Passive Ceiling Speaker (01556) (single Passive), 60W RMS, Works with Any Amplifier, Perfect for Bedrooms, Bathrooms & Kitchens","£72.39£72.39",NA,"23"
"38","Herdio 6.5 Inch Ceiling Speakers, 320W 2-Way in Ceiling Speakers Perfect for kitchen, bathroom, living room - A Pair","£91.66£91.66",NA,"79"
"39","Bose Companion 50 USB","£99.99£99.99",NA,"691"
"40","4 Way Loudspeaker Selector","£449.10£449.10",NA,"190"
"41","Loops 120W 5.25” Indoor/Outdoor Active Bluetooth Wall Speakers – Pair of Black Stereo Wireless Music Streaming Speakers – IP56 External Weatherproof Garden Bar/Hot Tub Audio Home Entertainment System","£33.32£33.32","4.7 out of 5 stars","9"
"42","Sonos Play:5 (Gen.2) black","£80.72£80.72","4.4 out of 5 stars","310"
"43","Herdio 5.25 Inches 300 Watts Round Bluetooth Ceiling Speakers 2 Way Flush Mount Sound Bathroom Speaker For Bedroom Home Living Room","£107.99£107.99","4.4 out of 5 stars","791"
"44","Herdio 4 Inches 160 Watts 2 Way Flush Mount Ceiling Speakers Perfect for Bathroom, Kitchen,Living Room,Office","£190.39£190.39","4.5 out of 5 stars","45"
"45","E-Audio Bluetooth Ceiling Speaker Kit Bathroom Wireless Bluetooth Amplifier Water Resistant Ceiling Speakers (2 Way)","£24.29£24.29","4.3 out of 5 stars","217"
"46","Pyle Outdoor Waterproof Wireless Bluetooth Speaker - 3.5 Inch Pair 3-Way Active Passive Weatherproof Wall, Ceiling Mount Dual Speakers System w/Heavy Duty Grill, Patio, Indoor Use PDWR42BBT (Black)","£33.29£33.29","4.3 out of 5 stars","1,426"
"47","Hoody HOODY1 Fire and Acoustic Hood for 5-6-Inch Round Speakers","£494.95£494.95","4.4 out of 5 stars","15"
"48","Bluetooth Ceiling Music Kit 4 Zone Stereo Amp & 8x Low Profile HiFi Speaker","£91.66£91.66","4.6 out of 5 stars","1"
"49","Adastra Bluetooth Ceiling Speakers Set","£207.50£207.50","4.4 out of 5 stars","38"
"50","Trevi XT 101 BT Soundtower Speaker Amplified Tower with FM Radio, Bluetooth, Mp3, USB, SD, Aux-In, White","£215.83£215.83","4.4 out of 5 stars","467"
"51","Denon SCN10 Speakers, Two-Way HiFi Speakers for TV Sound System, 2x 65W, Compatible with Receivers & Amplifiers, Elegant Design - White, SCN10WTEM","£35.82£35.82","4.5 out of 5 stars","396"
"52","Loops 70W 4"" 2 Way Stereo Speakers (2x PAIRS) - Two Pairs of Black Wall Mounted Satellite Speakers - Passive 8 Ohm Background Music HiFi Speakers - Bookshelf or Wall Mountable","£188.10£188.10","4.7 out of 5 stars","3"
"53","Audio Pro Addon C5A Multiroom Smart Speaker with Built In Amazon Alexa - White","£28.55£28.55",NA,"54"
