"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,"5.0 out of 5 stars",NA
"2","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,"5.0 out of 5 stars",NA
"3","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,"5.0 out of 5 stars",NA
"4","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,"5.0 out of 5 stars",NA
"5","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"6","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"7","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"8","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"9","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"10","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"11","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"12","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"13","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"14","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
"15","SoundPEATS Air3 Wireless Earbuds Mini Bluetooth V5.2 Earphones with Qualcomm QCC3040 and aptX-Adaptive, 4-Mic and CVC 8.0 Noise Cancellation, TrueWireless Mirroring Tech, in-Ear Detection, Game Mode  ",NA,NA,NA,NA,NA
