"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Works Great!","Verified Purchase","Reviewed in the United States on 4 March 2024","3.6 out of 5 stars","        This product worked as advertised  "
"2","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","mkayw","Verified Purchase","Reviewed in the United States on 12 October 2023","5.0 out of 5 stars","        I love these earbuds.  They have a terrifIc sound!  "
"3","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","mz dana","Verified Purchase","Reviewed in the United States on 20 June 2023","5.0 out of 5 stars","        Wasn’t good quality. Both broke easily and quickly  "
"4","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Amazon Customer","Verified Purchase","Reviewed in the United States on 10 November 2023","5.0 out of 5 stars","        Headphones made cheap breaks easily  "
"5","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Kindle Customer","Verified Purchase","Reviewed in the United States on 18 September 2023","5.0 out of 5 stars","        I wear these at the gym. They stay put and the sound is great.  "
"6","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Special Needs Child Parent","Verified Purchase","Reviewed in the United States on 4 January 2023","5.0 out of 5 stars","        These are the best headphones I’ve ever heard. All musical elements come through crystal clear Especially the Bass!  They are Very Loud so even on even low volume they make you feel the music. Just do it! You won’t be disappointed.  "
"7","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","MYRON P. NELSON","Verified Purchase","Reviewed in the United States on 31 August 2023","5.0 out of 5 stars","        great value  "
"8","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Niya Harris","Verified Purchase","Reviewed in the United States on 17 May 2023","5.0 out of 5 stars","        I love the quality of my headphones they arrived quickly and were cost effective. I will definitely purchase items again from this supplier  "
"9","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","That Girl 007","Verified Purchase","Reviewed in the United States on 30 July 2023","5.0 out of 5 stars","        Great headphones for the price.  "
"10","iPhone 15 Pro Max Headphones USB C Headphones For iPhone 15 15 Pro 15 Plus Type C Earphones In-Ear Wired Headphones with Mic and Volume Control Noise Reduction Stereo Earbuds For iPhone 15 Pro Max  ","Jordyn ","Verified Purchase","Reviewed in the United States on 28 July 2023","5.0 out of 5 stars","        They worked great  "
